label,xmin,ymin,xmax,ymax,image
Safety Vest,43,86,1545,1502,pos_436.jpg
Hard Hat,305,8,397,167,pos_378.jpg
Hard Hat,243,29,337,198,pos_378.jpg
Hard Hat,153,55,255,241,pos_378.jpg
Hard Hat,68,26,176,200,pos_378.jpg
Hard Hat,1,5,104,168,pos_378.jpg
Hard Hat,85,524,263,686,pos_1399.jpg
Safety Vest,0,473,78,718,pos_1399.jpg
Hard Hat,32,641,249,719,pos_1399.jpg
Safety Vest,279,304,897,717,pos_1399.jpg
Safety Vest,686,420,742,561,pos_1616.jpg
Hard Hat,23,28,273,351,pos_185.jpg
Hard Hat,314,27,559,329,pos_185.jpg
Hard Hat,245,162,302,201,pos_1170.jpg
Hard Hat,204,90,270,163,pos_1164.jpg
Hard Hat,28,131,85,187,pos_1164.jpg
Hard Hat,102,155,162,194,pos_191.jpg
Hard Hat,222,151,276,188,pos_191.jpg
Hard Hat,282,170,330,204,pos_191.jpg
Hard Hat,336,161,386,200,pos_191.jpg
Hard Hat,392,170,439,202,pos_191.jpg
Hard Hat,430,144,486,171,pos_191.jpg
Hard Hat,442,182,497,214,pos_191.jpg
Hard Hat,502,163,552,197,pos_191.jpg
Hard Hat,566,163,607,195,pos_191.jpg
Hard Hat,646,193,705,223,pos_191.jpg
Hard Hat,650,167,699,194,pos_191.jpg
Hard Hat,728,187,780,218,pos_191.jpg
Hard Hat,739,149,796,174,pos_191.jpg
Hard Hat,752,299,800,334,pos_191.jpg
Hard Hat,806,214,860,251,pos_191.jpg
Hard Hat,803,172,847,198,pos_191.jpg
Hard Hat,851,156,876,177,pos_191.jpg
Hard Hat,864,169,906,205,pos_191.jpg
Hard Hat,861,288,918,324,pos_191.jpg
Hard Hat,979,277,1038,318,pos_191.jpg
Hard Hat,928,173,976,204,pos_191.jpg
Hard Hat,972,157,1019,188,pos_191.jpg
Hard Hat,1028,176,1078,204,pos_191.jpg
Hard Hat,1085,169,1131,193,pos_191.jpg
Hard Hat,1129,195,1180,227,pos_191.jpg
Hard Hat,1217,165,1260,196,pos_191.jpg
Hard Hat,1296,151,1348,188,pos_191.jpg
Hard Hat,86,57,1069,634,pos_98.jpg
Safety Vest,473,496,531,561,pos_1602.jpg
Hard Hat,198,35,337,127,pos_807.jpg
Safety Vest,111,176,455,373,pos_807.jpg
Hard Hat,120,40,224,104,pos_813.jpg
Hard Hat,329,14,435,65,pos_813.jpg
Hard Hat,137,149,188,204,pos_1158.jpg
Hard Hat,127,327,188,363,pos_1158.jpg
Hard Hat,292,1148,3208,2719,pos_146.jpg
Hard Hat,3,34,147,124,pos_620.jpg
Hard Hat,151,203,300,358,pos_634.jpg
Hard Hat,245,159,383,298,pos_634.jpg
Hard Hat,285,117,398,221,pos_634.jpg
Hard Hat,7,186,153,335,pos_634.jpg
Hard Hat,0,117,136,231,pos_634.jpg
Hard Hat,2,56,117,173,pos_634.jpg
Hard Hat,115,54,206,134,pos_634.jpg
Hard Hat,130,112,237,231,pos_634.jpg
Hard Hat,210,60,294,164,pos_634.jpg
Safety Vest,332,206,469,313,pos_1819.jpg
Safety Vest,613,178,778,398,pos_1819.jpg
Hard Hat,578,105,656,172,pos_1819.jpg
Hard Hat,489,169,567,220,pos_1819.jpg
Hard Hat,377,130,454,186,pos_1819.jpg
Hard Hat,258,60,400,146,pos_1819.jpg
Hard Hat,590,971,725,1136,pos_152.jpg
Hard Hat,634,791,760,961,pos_152.jpg
Hard Hat,598,607,724,775,pos_152.jpg
Hard Hat,594,434,723,596,pos_152.jpg
Hard Hat,590,254,727,438,pos_152.jpg
Hard Hat,429,963,573,1136,pos_152.jpg
Hard Hat,280,937,410,1120,pos_152.jpg
Hard Hat,122,960,248,1153,pos_152.jpg
Hard Hat,348,767,476,977,pos_152.jpg
Hard Hat,492,779,618,976,pos_152.jpg
Hard Hat,198,775,335,965,pos_152.jpg
Hard Hat,122,596,255,784,pos_152.jpg
Hard Hat,121,791,200,953,pos_152.jpg
Hard Hat,119,431,253,604,pos_152.jpg
Hard Hat,272,406,403,596,pos_152.jpg
Hard Hat,433,428,558,618,pos_152.jpg
Hard Hat,435,603,566,769,pos_152.jpg
Hard Hat,446,271,578,442,pos_152.jpg
Hard Hat,293,258,433,431,pos_152.jpg
Hard Hat,120,249,265,422,pos_152.jpg
Safety Vest,947,0,1014,52,pos_1831.jpg
Hard Hat,23,32,334,313,pos_73.jpg
Safety Vest,143,97,541,689,pos_608.jpg
Hard Hat,817,482,1169,847,pos_67.jpg
Hard Hat,493,467,808,814,pos_67.jpg
Hard Hat,149,490,482,844,pos_67.jpg
Hard Hat,0,470,186,829,pos_67.jpg
Hard Hat,1147,494,1298,853,pos_67.jpg
Hard Hat,821,336,1074,586,pos_67.jpg
Hard Hat,1070,315,1296,592,pos_67.jpg
Hard Hat,543,311,817,569,pos_67.jpg
Hard Hat,277,320,539,587,pos_67.jpg
Hard Hat,25,271,292,562,pos_67.jpg
Hard Hat,1017,199,1245,406,pos_67.jpg
Hard Hat,784,211,1021,417,pos_67.jpg
Hard Hat,559,210,782,392,pos_67.jpg
Hard Hat,321,185,565,388,pos_67.jpg
Hard Hat,128,216,331,377,pos_67.jpg
Hard Hat,953,127,1145,295,pos_67.jpg
Hard Hat,749,132,946,300,pos_67.jpg
Hard Hat,559,137,743,296,pos_67.jpg
Hard Hat,367,120,559,271,pos_67.jpg
Hard Hat,192,125,351,268,pos_67.jpg
Hard Hat,0,175,142,348,pos_67.jpg
Hard Hat,7,103,189,251,pos_67.jpg
Hard Hat,66,41,237,163,pos_67.jpg
Hard Hat,414,68,576,184,pos_67.jpg
Hard Hat,243,47,402,168,pos_67.jpg
Hard Hat,591,48,759,193,pos_67.jpg
Hard Hat,747,53,919,191,pos_67.jpg
Hard Hat,924,50,1094,198,pos_67.jpg
Safety Vest,422,116,564,361,pos_1825.jpg
Safety Vest,864,101,1030,335,pos_1825.jpg
Safety Vest,159,49,759,848,pos_653.jpg
Hard Hat,115,40,329,188,pos_135.jpg
Safety Vest,122,335,341,638,pos_121.jpg
Safety Vest,412,332,618,647,pos_121.jpg
Hard Hat,234,293,683,596,pos_28.jpg
Hard Hat,1318,74,1757,365,pos_28.jpg
Safety Vest,0,821,788,1233,pos_28.jpg
Hard Hat,676,589,908,740,pos_28.jpg
Safety Vest,657,786,1030,1229,pos_28.jpg
Safety Vest,1319,597,1914,1232,pos_28.jpg
Safety Vest,74,43,478,644,pos_647.jpg
Safety Vest,102,58,903,939,pos_109.jpg
Safety Vest,320,345,367,411,pos_1842.jpg
Hard Hat,340,309,377,327,pos_1842.jpg
Hard Hat,796,297,829,320,pos_1842.jpg
Safety Vest,811,324,856,391,pos_1842.jpg
Safety Vest,39,297,158,384,pos_1856.jpg
Hard Hat,155,305,201,347,pos_1856.jpg
Hard Hat,9,107,986,881,pos_14.jpg
Hard Hat,246,28,325,86,pos_1103.jpg
Hard Hat,466,28,497,70,pos_1103.jpg
Safety Vest,216,99,320,290,pos_1103.jpg
Hard Hat,287,72,378,146,pos_690.jpg
Hard Hat,93,104,256,193,pos_848.jpg
Safety Vest,3,257,733,715,pos_1665.jpg
Hard Hat,667,0,759,74,pos_1665.jpg
Safety Vest,136,305,604,718,pos_1671.jpg
Hard Hat,378,24,650,185,pos_1671.jpg
Safety Vest,19,202,349,652,pos_684.jpg
Hard Hat,155,82,214,122,pos_1117.jpg
Hard Hat,220,47,293,123,pos_1117.jpg
Hard Hat,293,2,390,75,pos_1117.jpg
Safety Vest,357,65,498,330,pos_1117.jpg
Hard Hat,134,30,367,150,pos_874.jpg
Safety Vest,1046,316,1134,529,pos_1881.jpg
Safety Vest,952,291,1038,472,pos_1881.jpg
Safety Vest,1115,462,1166,538,pos_1659.jpg
Hard Hat,1112,425,1153,464,pos_1659.jpg
Hard Hat,504,322,554,365,pos_1659.jpg
Safety Vest,472,377,604,524,pos_1659.jpg
Safety Vest,171,239,367,552,pos_1895.jpg
Safety Vest,721,245,905,501,pos_1895.jpg
Hard Hat,17,256,98,318,pos_860.jpg
Safety Vest,16,346,111,497,pos_860.jpg
Hard Hat,19,8,389,280,pos_337.jpg
Hard Hat,176,1,1376,1251,pos_451.jpg
Safety Vest,85,26,708,756,pos_445.jpg
Hard Hat,50,286,1853,1407,pos_323.jpg
Safety Vest,0,0,402,673,pos_1498.jpg
Safety Vest,169,155,417,485,pos_479.jpg
Safety Vest,0,295,122,443,pos_2185.jpg
Safety Vest,211,251,341,416,pos_2185.jpg
Safety Vest,843,0,1185,292,pos_1467.jpg
Safety Vest,31,44,158,225,pos_492.jpg
Hard Hat,176,27,222,68,pos_1301.jpg
Hard Hat,145,35,179,68,pos_1315.jpg
Hard Hat,296,63,346,103,pos_1315.jpg
Hard Hat,6,17,214,201,pos_486.jpg
Safety Vest,548,227,777,719,pos_1473.jpg
Safety Vest,744,305,825,390,pos_2152.jpg
Hard Hat,153,36,201,72,pos_1329.jpg
Hard Hat,283,0,350,50,pos_1329.jpg
Safety Vest,378,276,595,668,pos_2146.jpg
Safety Vest,32,22,251,345,pos_243.jpg
Safety Vest,361,14,587,344,pos_243.jpg
Safety Vest,35,112,233,453,pos_525.jpg
Safety Vest,348,107,563,447,pos_525.jpg
Safety Vest,78,46,414,456,pos_531.jpg
Safety Vest,2,2,277,385,pos_257.jpg
Safety Vest,25,23,505,775,pos_519.jpg
Safety Vest,468,116,766,673,pos_519.jpg
Hard Hat,978,121,1063,164,pos_1513.jpg
Hard Hat,939,194,1038,261,pos_1513.jpg
Hard Hat,406,176,464,214,pos_1513.jpg
Safety Vest,952,286,1113,480,pos_1513.jpg
Safety Vest,1021,203,1114,354,pos_1513.jpg
Safety Vest,410,238,517,395,pos_1513.jpg
Hard Hat,778,104,810,146,pos_1513.jpg
Safety Vest,16,2,217,281,pos_280.jpg
Hard Hat,163,26,208,60,pos_1275.jpg
Hard Hat,72,17,154,75,pos_1261.jpg
Hard Hat,15,17,266,372,pos_294.jpg
Hard Hat,153,69,410,430,pos_294.jpg
Hard Hat,307,89,638,478,pos_294.jpg
Safety Vest,1110,247,1201,375,pos_1507.jpg
Safety Vest,0,431,579,716,pos_2026.jpg
Hard Hat,6,0,247,72,pos_1249.jpg
Safety Vest,545,271,727,497,pos_2032.jpg
Safety Vest,804,287,979,522,pos_2032.jpg
Hard Hat,245,49,317,102,pos_727.jpg
Hard Hat,154,109,241,149,pos_727.jpg
Hard Hat,102,141,132,160,pos_733.jpg
Hard Hat,179,151,208,170,pos_733.jpg
Hard Hat,284,40,393,105,pos_1088.jpg
Hard Hat,101,101,189,161,pos_1088.jpg
Safety Vest,1,269,83,716,pos_1936.jpg
Safety Vest,1058,73,1278,698,pos_1936.jpg
Safety Vest,197,303,477,717,pos_1922.jpg
Safety Vest,623,388,888,718,pos_1922.jpg
Hard Hat,290,243,306,265,pos_1077.jpg
Hard Hat,322,124,336,141,pos_1077.jpg
Hard Hat,232,170,246,183,pos_1077.jpg
Hard Hat,265,134,283,146,pos_1077.jpg
Hard Hat,145,213,162,233,pos_1077.jpg
Hard Hat,86,258,106,282,pos_1077.jpg
Safety Vest,417,191,475,290,pos_1711.jpg
Safety Vest,490,212,544,290,pos_1711.jpg
Safety Vest,219,164,380,391,pos_1705.jpg
Safety Vest,668,152,832,391,pos_1705.jpg
Hard Hat,30,38,303,212,pos_928.jpg
Hard Hat,193,37,327,120,pos_1063.jpg
Hard Hat,128,149,190,204,pos_1063.jpg
Hard Hat,171,129,221,169,pos_1063.jpg
Hard Hat,473,129,498,173,pos_1063.jpg
Hard Hat,321,148,345,167,pos_1063.jpg
Hard Hat,239,53,326,112,pos_900.jpg
Hard Hat,211,192,273,233,pos_1739.jpg
Safety Vest,164,269,286,424,pos_1739.jpg
Hard Hat,162,44,337,224,pos_914.jpg
Hard Hat,386,62,436,135,pos_914.jpg
Hard Hat,385,0,444,40,pos_914.jpg
Hard Hat,340,0,389,32,pos_914.jpg
Hard Hat,278,0,343,46,pos_914.jpg
Hard Hat,139,0,212,48,pos_914.jpg
Hard Hat,60,0,136,44,pos_914.jpg
Hard Hat,0,0,36,38,pos_914.jpg
Hard Hat,0,77,48,174,pos_914.jpg
Hard Hat,0,243,62,317,pos_914.jpg
Safety Vest,257,346,582,718,pos_1738.jpg
Safety Vest,864,317,1090,715,pos_1738.jpg
Hard Hat,276,90,353,132,pos_915.jpg
Hard Hat,79,74,136,117,pos_915.jpg
Hard Hat,95,12,351,164,pos_901.jpg
Hard Hat,871,305,915,333,pos_1704.jpg
Hard Hat,826,354,861,378,pos_1704.jpg
Safety Vest,831,400,882,489,pos_1704.jpg
Safety Vest,864,352,942,454,pos_1704.jpg
Hard Hat,159,35,398,264,pos_1062.jpg
Hard Hat,347,70,402,120,pos_929.jpg
Hard Hat,141,122,190,167,pos_929.jpg
Hard Hat,261,157,286,175,pos_929.jpg
Hard Hat,226,171,247,189,pos_929.jpg
Hard Hat,111,58,242,149,pos_1076.jpg
Safety Vest,307,378,416,602,pos_1710.jpg
Safety Vest,548,295,679,551,pos_1710.jpg
Safety Vest,0,351,181,717,pos_1923.jpg
Safety Vest,924,135,1278,716,pos_1923.jpg
Hard Hat,172,93,222,129,pos_1089.jpg
Hard Hat,297,78,349,114,pos_1089.jpg
Safety Vest,82,162,349,681,pos_1937.jpg
Safety Vest,1074,266,1275,707,pos_1937.jpg
Hard Hat,138,272,155,300,pos_732.jpg
Hard Hat,243,249,271,279,pos_732.jpg
Hard Hat,188,78,284,146,pos_726.jpg
Hard Hat,230,251,331,384,pos_726.jpg
Safety Vest,731,280,780,352,pos_2033.jpg
Safety Vest,801,286,860,353,pos_2033.jpg
Safety Vest,0,252,458,715,pos_2027.jpg
Hard Hat,64,3,119,46,pos_1248.jpg
Hard Hat,229,3,276,39,pos_1248.jpg
Hard Hat,31,33,142,129,pos_1260.jpg
Safety Vest,587,1,1278,717,pos_1506.jpg
Safety Vest,49,19,310,338,pos_295.jpg
Hard Hat,3,33,273,194,pos_281.jpg
Safety Vest,272,201,454,451,pos_1512.jpg
Safety Vest,687,196,879,451,pos_1512.jpg
Hard Hat,209,13,274,63,pos_1274.jpg
Hard Hat,125,95,857,668,pos_518.jpg
Hard Hat,146,1,606,413,pos_530.jpg
Hard Hat,55,69,253,206,pos_256.jpg
Hard Hat,667,167,844,275,pos_242.jpg
Hard Hat,664,315,753,368,pos_242.jpg
Safety Vest,657,468,709,530,pos_242.jpg
Safety Vest,635,302,958,681,pos_242.jpg
Hard Hat,112,46,199,102,pos_524.jpg
Hard Hat,218,40,329,111,pos_524.jpg
Safety Vest,66,157,233,351,pos_524.jpg
Safety Vest,183,191,395,351,pos_524.jpg
Hard Hat,89,3,177,82,pos_1328.jpg
Hard Hat,293,14,350,172,pos_1328.jpg
Safety Vest,73,437,302,718,pos_2147.jpg
Safety Vest,707,423,874,716,pos_2147.jpg
Safety Vest,670,219,747,344,pos_2153.jpg
Safety Vest,183,58,530,465,pos_487.jpg
Safety Vest,549,122,951,703,pos_487.jpg
Safety Vest,982,58,1277,561,pos_487.jpg
Hard Hat,119,29,152,53,pos_1314.jpg
Hard Hat,234,54,286,99,pos_1314.jpg
Safety Vest,70,227,815,718,pos_1472.jpg
Safety Vest,780,1,1194,329,pos_1466.jpg
Hard Hat,237,41,314,91,pos_1300.jpg
Hard Hat,208,42,256,84,pos_1300.jpg
Safety Vest,43,2,257,297,pos_493.jpg
Hard Hat,7,68,469,391,pos_478.jpg
Safety Vest,685,267,815,349,pos_2184.jpg
Safety Vest,815,231,964,406,pos_2184.jpg
Safety Vest,0,1,500,719,pos_1499.jpg
Hard Hat,49,28,1194,643,pos_444.jpg
Safety Vest,136,53,818,928,pos_322.jpg
Safety Vest,224,4,591,532,pos_336.jpg
Safety Vest,76,44,681,953,pos_450.jpg
Safety Vest,756,31,946,377,pos_450.jpg
Safety Vest,238,348,342,441,pos_1894.jpg
Safety Vest,441,348,542,445,pos_1894.jpg
Safety Vest,978,280,1070,349,pos_1894.jpg
Hard Hat,35,149,200,266,pos_861.jpg
Hard Hat,0,0,106,74,pos_875.jpg
Hard Hat,106,90,182,135,pos_875.jpg
Hard Hat,212,89,257,117,pos_875.jpg
Hard Hat,300,82,357,128,pos_875.jpg
Hard Hat,349,57,440,114,pos_875.jpg
Hard Hat,830,177,855,189,pos_1658.jpg
Safety Vest,823,197,859,245,pos_1658.jpg
Safety Vest,153,1,1086,717,pos_1880.jpg
Hard Hat,513,282,624,401,pos_1670.jpg
Safety Vest,459,430,672,667,pos_1670.jpg
Hard Hat,180,32,360,148,pos_1116.jpg
Safety Vest,79,17,417,473,pos_685.jpg
Hard Hat,132,193,181,248,pos_849.jpg
Hard Hat,314,18,383,64,pos_849.jpg
Hard Hat,408,20,488,68,pos_849.jpg
Hard Hat,102,94,150,144,pos_849.jpg
Hard Hat,155,36,364,188,pos_691.jpg
Hard Hat,150,121,162,131,pos_1102.jpg
Hard Hat,58,125,78,136,pos_1102.jpg
Hard Hat,482,245,497,256,pos_1664.jpg
Safety Vest,473,265,509,308,pos_1664.jpg
Hard Hat,68,76,433,334,pos_15.jpg
Hard Hat,364,50,691,293,pos_15.jpg
Safety Vest,666,29,936,364,pos_1857.jpg
Safety Vest,804,383,874,430,pos_1843.jpg
Hard Hat,792,362,820,382,pos_1843.jpg
Hard Hat,392,378,421,398,pos_1843.jpg
Safety Vest,330,401,397,442,pos_1843.jpg
Hard Hat,21,64,103,164,pos_108.jpg
Hard Hat,64,158,142,222,pos_108.jpg
Hard Hat,0,149,58,222,pos_108.jpg
Hard Hat,64,0,137,78,pos_108.jpg
Hard Hat,0,0,66,70,pos_108.jpg
Hard Hat,109,61,195,163,pos_108.jpg
Hard Hat,145,1,230,68,pos_108.jpg
Hard Hat,231,0,298,74,pos_108.jpg
Hard Hat,195,58,277,164,pos_108.jpg
Hard Hat,150,155,234,222,pos_108.jpg
Hard Hat,231,153,299,223,pos_108.jpg
Safety Vest,63,15,367,409,pos_29.jpg
Hard Hat,16,94,214,248,pos_120.jpg
Hard Hat,182,1,398,126,pos_120.jpg
Safety Vest,228,75,970,1194,pos_646.jpg
Safety Vest,1,36,349,309,pos_652.jpg
Hard Hat,0,42,497,428,pos_134.jpg
Safety Vest,170,131,448,563,pos_644.jpg
Hard Hat,42,67,356,316,pos_122.jpg
Safety Vest,278,450,345,544,pos_1869.jpg
Hard Hat,293,417,325,441,pos_1869.jpg
Hard Hat,503,394,536,417,pos_1869.jpg
Safety Vest,503,428,566,516,pos_1869.jpg
Safety Vest,8,3,286,293,pos_136.jpg
Hard Hat,31,51,373,312,pos_888.jpg
Safety Vest,22,65,282,424,pos_650.jpg
Safety Vest,218,144,480,464,pos_650.jpg
Safety Vest,47,149,454,745,pos_678.jpg
Safety Vest,396,62,778,676,pos_678.jpg
Hard Hat,117,412,154,456,pos_1855.jpg
Safety Vest,2,402,111,481,pos_1855.jpg
Hard Hat,0,0,397,286,pos_17.jpg
Safety Vest,835,387,921,497,pos_1699.jpg
Safety Vest,991,310,1103,439,pos_1699.jpg
Hard Hat,842,342,872,370,pos_1699.jpg
Hard Hat,958,283,1008,329,pos_1699.jpg
Safety Vest,626,156,770,385,pos_1841.jpg
Safety Vest,17,37,524,740,pos_687.jpg
Safety Vest,548,44,1119,768,pos_687.jpg
Hard Hat,4,67,121,141,pos_1114.jpg
Hard Hat,131,116,175,150,pos_1114.jpg
Hard Hat,237,125,265,145,pos_1114.jpg
Hard Hat,272,123,307,151,pos_1114.jpg
Hard Hat,310,113,325,150,pos_1114.jpg
Hard Hat,311,94,415,172,pos_1114.jpg
Hard Hat,413,131,459,156,pos_1114.jpg
Hard Hat,366,0,918,285,pos_1672.jpg
Hard Hat,0,1,289,232,pos_1666.jpg
Safety Vest,236,416,539,717,pos_1666.jpg
Hard Hat,171,46,231,87,pos_1100.jpg
Hard Hat,72,75,116,102,pos_1100.jpg
Safety Vest,166,122,259,239,pos_1100.jpg
Hard Hat,77,64,161,113,pos_693.jpg
Hard Hat,318,236,410,303,pos_1128.jpg
Safety Vest,292,333,439,497,pos_1128.jpg
Hard Hat,91,30,190,129,pos_863.jpg
Safety Vest,197,206,395,509,pos_1896.jpg
Safety Vest,761,210,951,495,pos_1896.jpg
Safety Vest,374,247,560,420,pos_1882.jpg
Safety Vest,610,236,788,413,pos_1882.jpg
Hard Hat,129,40,296,142,pos_877.jpg
Safety Vest,5,5,290,293,pos_320.jpg
Hard Hat,2,60,1194,1134,pos_446.jpg
Safety Vest,40,58,477,638,pos_452.jpg
Hard Hat,65,122,404,306,pos_334.jpg
Safety Vest,130,299,233,417,pos_2186.jpg
Safety Vest,363,272,462,397,pos_2186.jpg
Hard Hat,23,82,685,601,pos_308.jpg
Safety Vest,745,264,861,417,pos_2179.jpg
Safety Vest,327,0,694,382,pos_1470.jpg
Hard Hat,162,25,202,57,pos_1316.jpg
Hard Hat,229,34,267,58,pos_1316.jpg
Hard Hat,19,12,708,585,pos_485.jpg
Safety Vest,77,40,558,604,pos_491.jpg
Hard Hat,175,0,267,56,pos_1302.jpg
Safety Vest,1113,328,1279,717,pos_1464.jpg
Safety Vest,26,426,233,715,pos_2145.jpg
Safety Vest,594,401,771,670,pos_2145.jpg
Safety Vest,657,287,817,408,pos_2151.jpg
Safety Vest,278,419,582,719,pos_1458.jpg
Hard Hat,7,8,295,189,pos_254.jpg
Hard Hat,3,230,76,281,pos_254.jpg
Hard Hat,67,232,131,276,pos_254.jpg
Hard Hat,111,236,178,278,pos_254.jpg
Hard Hat,162,232,236,278,pos_254.jpg
Hard Hat,220,230,295,277,pos_254.jpg
Hard Hat,197,11,595,195,pos_532.jpg
Safety Vest,100,60,209,219,pos_526.jpg
Safety Vest,99,17,545,628,pos_240.jpg
Safety Vest,176,407,990,1590,pos_268.jpg
Safety Vest,660,274,1361,1530,pos_268.jpg
Hard Hat,188,5,293,79,pos_1289.jpg
Hard Hat,97,31,190,131,pos_1289.jpg
Hard Hat,0,7,116,133,pos_1289.jpg
Hard Hat,4,2,397,222,pos_297.jpg
Safety Vest,817,39,1279,718,pos_1504.jpg
Hard Hat,164,32,207,62,pos_1262.jpg
Hard Hat,249,153,293,210,pos_1276.jpg
Safety Vest,183,406,830,717,pos_1510.jpg
Safety Vest,561,385,871,716,pos_2019.jpg
Hard Hat,186,267,3337,2412,pos_283.jpg
Safety Vest,130,489,1147,716,pos_1538.jpg
Safety Vest,543,287,787,570,pos_2031.jpg
Safety Vest,896,290,1109,603,pos_2031.jpg
Safety Vest,240,231,1165,717,pos_2025.jpg
Hard Hat,158,104,322,194,pos_730.jpg
Safety Vest,790,0,1278,718,pos_1909.jpg
Hard Hat,101,16,222,112,pos_724.jpg
Hard Hat,247,19,373,97,pos_724.jpg
Safety Vest,223,404,360,556,pos_1921.jpg
Safety Vest,390,407,490,549,pos_1921.jpg
Safety Vest,540,397,697,544,pos_1921.jpg
Safety Vest,742,413,845,556,pos_1921.jpg
Safety Vest,96,297,387,716,pos_1935.jpg
Safety Vest,840,387,1111,714,pos_1935.jpg
Hard Hat,180,177,208,202,pos_718.jpg
Hard Hat,219,183,239,202,pos_718.jpg
Hard Hat,299,171,353,196,pos_718.jpg
Hard Hat,249,168,279,185,pos_718.jpg
Hard Hat,69,5,150,72,pos_1060.jpg
Safety Vest,749,215,938,447,pos_1706.jpg
Safety Vest,994,233,1127,424,pos_1706.jpg
Safety Vest,428,384,536,509,pos_1712.jpg
Safety Vest,511,304,602,397,pos_1712.jpg
Hard Hat,105,36,351,197,pos_1074.jpg
Hard Hat,108,27,166,74,pos_917.jpg
Safety Vest,31,32,116,175,pos_917.jpg
Safety Vest,68,126,172,275,pos_917.jpg
Hard Hat,451,195,485,229,pos_903.jpg
Hard Hat,434,204,450,226,pos_903.jpg
Hard Hat,395,211,416,228,pos_903.jpg
Hard Hat,338,216,385,246,pos_903.jpg
Hard Hat,267,201,309,230,pos_903.jpg
Hard Hat,305,224,333,249,pos_903.jpg
Hard Hat,235,219,262,237,pos_903.jpg
Hard Hat,198,210,228,236,pos_903.jpg
Hard Hat,151,198,194,227,pos_903.jpg
Hard Hat,116,216,145,245,pos_903.jpg
Hard Hat,67,229,92,247,pos_903.jpg
Safety Vest,52,252,88,309,pos_903.jpg
Hard Hat,483,217,498,236,pos_903.jpg
Hard Hat,417,209,437,227,pos_903.jpg
Hard Hat,383,219,397,233,pos_903.jpg
Safety Vest,453,246,498,328,pos_903.jpg
Safety Vest,438,240,457,300,pos_903.jpg
Safety Vest,414,241,443,299,pos_903.jpg
Safety Vest,403,234,419,251,pos_903.jpg
Safety Vest,381,245,401,261,pos_903.jpg
Safety Vest,344,258,392,314,pos_903.jpg
Safety Vest,324,250,341,313,pos_903.jpg
Safety Vest,263,249,322,319,pos_903.jpg
Safety Vest,245,247,272,307,pos_903.jpg
Safety Vest,212,242,245,309,pos_903.jpg
Safety Vest,169,248,203,319,pos_903.jpg
Safety Vest,123,248,159,289,pos_903.jpg
Hard Hat,87,59,149,100,pos_1048.jpg
Hard Hat,212,13,285,96,pos_1049.jpg
Hard Hat,1,47,173,205,pos_902.jpg
Hard Hat,274,161,292,187,pos_902.jpg
Hard Hat,321,148,361,191,pos_902.jpg
Hard Hat,379,160,397,175,pos_902.jpg
Hard Hat,363,139,383,159,pos_902.jpg
Hard Hat,402,164,466,209,pos_902.jpg
Hard Hat,258,104,326,200,pos_916.jpg
Hard Hat,0,115,24,140,pos_916.jpg
Hard Hat,17,140,60,183,pos_916.jpg
Hard Hat,60,132,118,183,pos_916.jpg
Hard Hat,130,177,146,201,pos_916.jpg
Hard Hat,325,141,365,193,pos_916.jpg
Hard Hat,360,193,373,215,pos_916.jpg
Hard Hat,228,188,258,214,pos_916.jpg
Hard Hat,218,184,238,208,pos_916.jpg
Hard Hat,206,172,222,197,pos_916.jpg
Hard Hat,160,180,213,234,pos_916.jpg
Safety Vest,508,413,593,544,pos_1713.jpg
Safety Vest,578,331,670,433,pos_1713.jpg
Hard Hat,197,194,250,231,pos_1075.jpg
Safety Vest,103,245,278,417,pos_1075.jpg
Hard Hat,132,93,179,131,pos_1061.jpg
Hard Hat,230,50,299,91,pos_1061.jpg
Safety Vest,211,356,308,453,pos_1707.jpg
Safety Vest,442,319,543,416,pos_1707.jpg
Safety Vest,0,305,305,716,pos_1934.jpg
Safety Vest,806,120,1223,717,pos_1934.jpg
Hard Hat,145,1,316,99,pos_719.jpg
Safety Vest,72,183,251,450,pos_1920.jpg
Safety Vest,374,158,655,414,pos_1920.jpg
Safety Vest,792,191,968,435,pos_1920.jpg
Safety Vest,1018,161,1274,429,pos_1920.jpg
Safety Vest,222,287,445,511,pos_1908.jpg
Safety Vest,485,229,696,476,pos_1908.jpg
Hard Hat,162,56,197,90,pos_725.jpg
Hard Hat,70,245,118,300,pos_725.jpg
Hard Hat,135,117,164,135,pos_731.jpg
Hard Hat,451,178,475,195,pos_731.jpg
Safety Vest,115,126,157,181,pos_731.jpg
Safety Vest,447,207,487,261,pos_731.jpg
Safety Vest,241,204,383,394,pos_2024.jpg
Safety Vest,605,234,707,328,pos_2024.jpg
Safety Vest,352,449,821,717,pos_2030.jpg
Safety Vest,329,452,1279,717,pos_1539.jpg
Hard Hat,108,38,146,61,pos_1277.jpg
Hard Hat,159,38,193,58,pos_1277.jpg
Safety Vest,274,62,624,534,pos_282.jpg
Safety Vest,134,140,485,648,pos_282.jpg
Safety Vest,0,398,461,717,pos_2018.jpg
Safety Vest,362,291,447,411,pos_1511.jpg
Safety Vest,457,295,542,412,pos_1511.jpg
Safety Vest,491,0,793,294,pos_1505.jpg
Hard Hat,40,17,476,334,pos_296.jpg
Hard Hat,170,43,226,94,pos_1263.jpg
Hard Hat,223,0,308,62,pos_1288.jpg
Hard Hat,189,16,325,124,pos_269.jpg
